Player,Team,Pos,G,MP,G.1,GS,MP.1,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Monique Akoa Makani,PHO,G,41,881,41,40,881,114,266,.429,49,124,.395,65,142,.458,38,41,.927,25,91,111,32,3,55,101,315
Julie Allemand,LAS,G,34,963,34,27,963,70,159,.440,28,101,.277,42,58,.724,15,19,.789,13,127,170,45,1,53,55,183
Lindsay Allen,CON,G,31,450,31,9,450,26,65,.400,3,18,.167,23,47,.489,19,23,.826,9,32,61,10,6,31,37,74
Rebecca Allen,CHI,F-G,44,821,44,17,821,82,240,.342,42,132,.318,40,108,.370,19,31,.613,16,113,57,23,23,39,62,225
Laeticia Amihere,GSV,F,29,384,29,0,384,52,114,.456,3,21,.143,49,93,.527,49,63,.778,35,125,27,17,13,32,36,156
Yvonne Anderson,MIN,G,1,12,1,0,12,0,3,.000,0,1,.000,0,2,.000,0,0,,0,1,2,2,0,0,3,0
Ariel Atkins,CHI,G,34,971,34,34,971,162,365,.444,43,119,.361,119,246,.484,80,93,.860,23,114,122,53,24,84,102,447
Shakira Austin,WAS,F-C,38,874,38,30,874,191,411,.465,2,15,.133,189,396,.477,97,146,.664,57,242,68,41,43,92,81,481
Marième Badiane,MIN,C,3,11,3,0,11,0,3,.000,0,1,.000,0,2,.000,0,0,,1,1,0,2,0,2,6,0
Rachel Banham,CHI,G,44,1081,44,33,1081,129,338,.382,86,241,.357,43,97,.443,52,59,.881,6,74,119,26,11,71,84,396
Sarah Ashlee Barker,LAS,G,34,481,34,8,481,35,104,.337,18,61,.295,17,43,.395,17,24,.708,10,66,31,11,4,37,45,105
Kierstan Bell,LVA,F,35,427,35,16,427,52,153,.340,30,102,.294,22,51,.431,12,15,.800,20,62,23,14,11,17,30,146
Monique Billings,GSV,F,26,474,26,8,474,72,151,.477,10,36,.278,62,115,.539,36,53,.679,37,116,14,16,21,21,44,190
Aliyah Boston,IND,C-F,44,1327,44,44,1327,271,504,.538,6,29,.207,265,475,.558,112,147,.762,107,361,163,52,41,81,136,660
Crystal Bradford,LVA,F,4,24,4,0,24,2,6,.333,0,2,.000,2,4,.500,0,0,,2,5,1,2,0,1,3,4
Cameron Brink,LAS,F,19,244,19,0,244,35,82,.427,10,34,.294,25,48,.521,16,21,.762,26,82,9,10,26,25,48,96
Jaelyn Brown,CON,G-F,10,131,10,0,131,14,37,.378,8,18,.444,6,19,.316,1,2,.500,4,12,1,5,2,5,17,37
Kalani Brown,PHO,C,29,370,29,1,370,59,96,.615,3,8,.375,56,88,.636,27,35,.771,36,117,16,7,18,23,46,148
Lexie Brown,SEA,G,24,227,24,0,227,17,48,.354,10,37,.270,7,11,.636,7,10,.700,2,17,23,9,1,6,20,51
Paige Bueckers,DAL,G,36,1199,36,36,1199,259,543,.477,39,118,.331,220,425,.518,135,152,.888,25,141,194,57,18,72,82,692
Kennedy Burke,NYL,G-F,36,779,36,9,779,102,218,.468,46,111,.414,56,107,.523,41,54,.759,21,85,45,28,16,34,47,291
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Rae Burrell,LAS,G-F,28,515,28,1,515,77,178,.433,22,67,.328,55,111,.495,35,47,.745,18,65,34,16,5,25,36,211
Veronica Burton,GSV,G,44,1292,44,44,1292,149,385,.387,61,177,.345,88,208,.423,166,189,.878,50,192,265,50,27,94,103,525
Maya Caldwell,ATL,G,41,760,41,16,760,83,195,.426,39,110,.355,44,85,.518,16,20,.800,33,127,74,37,7,40,65,221
Jordin Canada,ATL,G,28,783,28,26,783,108,273,.396,25,86,.291,83,187,.444,73,96,.760,8,91,159,48,9,62,46,314
Emma Cannon,LAS,F,21,213,21,0,213,32,63,.508,14,36,.389,18,27,.667,15,23,.652,11,38,8,10,1,16,36,93
Kamilla Cardoso,CHI,C,40,1102,40,39,1102,223,422,.528,1,2,.500,222,420,.529,96,133,.722,118,341,98,14,47,97,113,543
Bridget Carleton,MIN,F,44,1227,44,44,1227,102,254,.402,63,169,.373,39,85,.459,18,25,.720,39,158,89,37,12,33,83,285
Tina Charles,CON,C,43,1222,43,42,1222,260,593,.438,12,46,.261,248,547,.453,168,196,.857,62,248,74,33,19,82,89,700
Kaitlyn Chen,GSV,G,24,247,24,0,247,19,50,.380,5,15,.333,14,35,.400,5,7,.714,5,22,24,5,0,18,16,48
